@relation dataset-11-testing
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
11,4,304,15,15,15,16,6,20,7,19,0
11,1,128,0,42,1,43,1,3,1,4,0
11,1,192,192,192,192,192,1,1,2,2,0
11,4,498,5,18,9,26,6,27,8,36,0
11,1,72,72,72,72,72,1,1,1,1,0
11,1,149,13,16,13,30,1,9,1,6,0
11,4,613,20,28,28,40,5,21,5,25,0
11,2,354,2,25,4,32,3,14,4,16,0
11,1,26,26,26,26,26,1,1,1,1,0
11,3,365,6,6,27,27,6,6,10,10,0
11,1,100,100,100,100,100,1,1,1,1,0
11,1,40,40,40,40,40,1,1,1,1,0
11,0,285,0,18,0,21,0,15,0,12,0
11,2,201,3,22,11,27,2,9,4,8,0
11,1,247,0,41,5,44,1,6,2,7,0
11,1,415,0,37,9,46,1,11,2,11,0
11,2,378,4,20,4,21,3,18,4,14,0
11,0,224,0,112,0,112,0,2,0,1,0
11,8,1458,11,14,34,33,13,96,15,108,0
11,1,81,81,81,81,81,1,1,1,1,0
11,4,438,25,13,33,22,4,30,4,34,0
11,1,27,27,27,27,27,1,1,1,1,0
11,0,41,0,41,0,41,0,1,0,0,0
11,0,142,0,17,0,22,0,8,0,7,0
11,3,250,83,83,86,86,3,3,2,2,0
11,1,126,4,21,5,23,1,6,2,6,0
11,3,361,28,24,58,38,5,13,7,14,0
11,3,342,-1,17,6,21,7,18,11,21,0
11,2,427,8,34,31,51,6,10,8,14,0
11,1,74,-6,9,22,39,1,8,2,8,0
11,5,258,13,23,19,45,6,11,5,9,0
11,5,384,2,7,11,16,6,53,8,55,0
11,7,2196,42,63,47,69,11,32,10,31,0
11,0,25,0,25,0,25,0,1,0,2,0
11,2,99,0,30,1,31,2,3,3,3,0
11,0,50,0,25,0,30,0,2,0,1,0
11,4,387,3,13,8,20,5,23,5,23,0
11,7,1147,23,24,37,43,9,46,9,49,0
11,4,962,2,19,10,34,8,43,10,43,0
11,2,46,4,11,4,11,2,4,1,2,0
11,1,50,2,12,2,12,1,4,1,4,0
11,4,220,17,18,21,20,5,12,5,8,0
11,1,65,65,65,65,65,1,1,1,1,0
11,5,10994,1208,1723,2138,2498,5,6,3,5,0
11,4,110,6,15,20,23,4,7,2,3,0
11,0,80,0,8,0,76,0,10,0,2,0
11,0,37,0,37,0,37,0,1,0,0,0
11,0,184,0,20,0,31,0,9,0,5,0
11,0,50,0,50,0,50,0,1,0,0,0
11,0,93,0,93,0,93,0,1,0,0,0
11,1,77,77,77,77,77,1,1,1,1,0
11,0,31,0,31,0,31,0,1,0,1,0
11,1,137,-1,45,0,46,1,3,1,4,0
11,1,92,92,92,92,92,1,1,3,3,0
11,1,50,50,50,50,50,1,1,3,3,0
11,0,75,0,37,0,38,0,2,0,4,0
11,2,101,51,51,51,51,2,2,4,4,0
11,0,205,0,68,0,69,0,3,0,5,0
11,1,85,85,85,85,85,1,1,1,1,0
11,9,1009,20,26,23,28,13,40,17,44,0
11,1,27,27,27,27,27,1,1,1,1,0
11,2,134,0,22,1,23,2,6,1,6,0
11,0,70,0,23,0,25,0,3,0,3,0
11,1,99,9,49,9,49,1,2,3,4,0
11,0,28,0,28,0,28,0,1,0,2,0
11,0,55,0,0,0,0,0,0,0,0,0
11,1,445,445,445,445,445,1,1,0,0,0
11,1,379,379,379,379,379,1,1,0,0,0
11,1,651,651,651,651,651,1,1,0,0,0
11,1,495,495,495,495,495,1,1,0,0,0
11,1,444,444,444,444,444,1,1,0,0,0
11,1,375,375,375,375,375,1,1,0,0,0
11,0,43,0,43,0,43,0,1,0,2,0
11,1,57,57,57,57,57,1,1,1,1,0
11,3,485,15,30,24,40,3,16,4,14,0
11,0,45,0,45,0,45,0,1,0,1,0
11,1,63,54,58,54,58,1,2,3,4,0
11,1,48,-2,9,6,12,1,5,2,3,0
11,0,36,0,36,0,36,0,1,0,1,0
11,2,5673,971,624,1583,763,2,9,2,3,0
11,4,179,23,29,31,37,4,6,3,5,0
11,1,92,1,28,3,31,1,3,2,4,0
11,2,214,14,16,35,23,3,13,5,9,0
11,0,52,0,0,0,0,0,0,0,0,0
11,1,216,21,41,23,49,1,5,1,5,0
11,0,81,0,11,0,15,0,7,0,2,0
11,1,310,4,108,4,108,1,3,1,3,0
11,1,54,-1,18,0,18,1,3,1,4,0
11,1,422,422,422,422,422,1,1,2,2,0
11,4,135,13,22,19,27,4,6,3,5,0
11,0,70,0,35,0,35,0,2,0,2,0
11,0,75,0,75,0,75,0,1,0,1,0
11,1,119,3,60,5,61,1,2,1,2,0
11,0,31,0,0,0,0,0,0,0,0,0
11,5,1053,6,18,8,33,5,44,4,49,0
11,0,91,0,0,0,0,0,0,0,0,0
11,2,414,8,82,12,88,2,5,2,3,0
11,0,36,0,36,0,36,0,1,0,3,0
11,3,145,36,36,40,40,4,4,6,6,0
11,0,43,0,21,0,22,0,2,0,1,0
11,1,45,45,45,45,45,1,1,1,1,0
11,1,40,40,40,40,40,1,1,1,1,0
11,4,405,10,16,13,23,5,25,5,32,0
11,2,347,3,26,9,32,2,13,4,17,0
11,1,78,78,78,78,78,1,1,3,3,0
11,1,43,43,43,43,43,1,1,3,3,0
11,1,47,47,47,47,47,1,1,1,1,0
11,1,121,0,9,3,20,1,13,2,17,0
11,1,94,3,11,4,13,1,8,1,5,0
11,0,46,0,46,0,46,0,1,0,0,0
11,4,529,3,21,16,30,5,30,7,34,0
11,0,26,0,26,0,26,0,1,0,1,0
11,3,87,21,21,22,22,4,4,4,4,0
11,1,324,324,324,324,324,1,1,2,2,0
11,0,29,0,29,0,29,0,1,0,1,0
11,1,66,4,16,27,28,1,4,1,5,0
11,0,600,0,200,0,203,0,3,0,6,0
11,1,48,48,48,48,48,1,1,1,1,0
11,4,110,-59,5,14,33,4,22,5,34,0
11,2,36,-28,4,5,13,2,9,3,7,0
11,0,70,0,70,0,70,0,1,0,1,0
11,1,514,4,128,6,175,1,4,1,3,0
11,4,585,12,59,14,69,5,10,5,9,0
11,0,70,0,-3,0,9,0,1,0,0,0
11,0,88,0,-1,0,5,0,2,0,3,0
11,0,342,0,12,0,22,0,3,0,2,0
11,4,414,7,13,11,18,5,29,6,32,0
11,0,132,0,33,0,33,0,4,0,4,0
