@relation dataset-6-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,96,0,24,0,36,0,4,0,1,NO
0,57,0,16,0,17,0,13,0,11,NO
0,128,0,128,0,128,0,1,0,2,NO
0,562,0,281,0,281,0,2,0,0,NO
0,141,0,141,0,141,0,1,0,0,NO
0,340,0,113,0,121,0,3,0,5,NO
0,724,0,38,0,46,0,19,0,15,NO
0,240,0,34,0,39,0,7,0,5,YES
1,427,78,23,80,34,2,18,2,24,YES
0,344,0,115,0,118,0,3,0,3,NO
0,68,0,23,0,25,0,3,0,0,NO
0,33,0,33,0,33,0,1,0,2,NO
0,136,0,17,0,32,0,8,0,5,NO
0,466,0,58,0,70,0,8,0,9,YES
0,295,0,37,0,47,0,8,0,8,YES
1,248,1,27,2,30,1,9,0,5,YES
0,61,0,20,0,25,0,3,0,0,NO
1,194,0,38,1,41,1,5,0,3,NO
0,127,0,21,0,22,0,6,0,5,NO
0,134,0,16,0,19,0,8,0,5,NO
0,172,0,34,0,36,0,5,0,2,NO
0,42,0,21,0,21,0,2,0,0,NO
2,247,0,49,1,52,2,5,1,5,NO
2,415,0,46,1,55,2,9,1,8,YES
0,166,0,166,0,166,0,1,0,0,NO
0,46,0,46,0,46,0,1,0,0,NO
0,317,0,29,0,30,0,11,0,5,YES
0,25,0,25,0,25,0,1,0,0,NO
0,81,0,27,0,28,0,3,0,2,NO
0,224,0,112,0,112,0,2,0,1,NO
2,1124,10,16,24,36,8,70,8,86,NO
0,46,0,23,0,24,0,2,0,1,NO
0,96,0,13,0,19,0,7,0,4,NO
1,279,7,14,13,17,3,19,4,24,NO
1,41,41,41,41,41,1,1,0,0,NO
0,142,0,17,0,22,0,8,0,7,NO
1,123,0,30,1,32,1,4,2,4,NO
0,28,0,14,0,15,0,2,0,1,NO
2,180,4,25,10,30,3,7,2,7,NO
0,312,0,28,0,30,0,11,0,10,NO
1,175,0,58,1,61,1,3,0,4,NO
2,81,-99,16,3,57,2,5,0,4,NO
1,302,302,302,302,302,1,1,0,0,NO
3,335,2,8,3,18,4,42,1,46,NO
0,76,0,18,0,21,0,4,0,6,NO
0,48,0,24,0,26,0,2,0,3,NO
2,908,-1,75,1,78,3,12,4,12,YES
0,25,0,25,0,25,0,1,0,2,NO
1,50,25,25,30,30,2,2,1,1,NO
0,288,0,19,0,25,0,15,0,16,YES
1,765,87,24,90,45,1,31,1,32,YES
1,790,0,27,1,45,1,29,0,26,YES
0,85,0,14,0,19,0,6,0,4,NO
1,37,37,37,37,37,1,1,1,1,NO
0,41,0,20,0,21,0,2,0,2,YES
1,134,15,22,15,23,1,6,2,3,NO
0,1137,0,63,0,89,0,18,0,19,NO
1,83,0,9,1,83,1,9,0,2,NO
2,184,3,20,31,31,3,9,2,5,NO
1,50,50,50,50,50,1,1,0,0,NO
1,93,93,93,93,93,1,1,0,0,NO
0,592,0,592,0,592,0,1,0,0,NO
0,35,0,17,0,21,0,2,0,0,NO
0,137,0,137,0,137,0,1,0,2,NO
0,67,0,33,0,34,0,2,0,0,NO
0,91,0,18,0,21,0,5,0,2,NO
0,43,0,21,0,23,0,2,0,0,NO
0,165,0,41,0,46,0,4,0,1,NO
0,25,0,25,0,25,0,1,0,2,NO
0,27,0,13,0,14,0,2,0,0,NO
0,81,0,27,0,27,0,3,0,4,NO
0,119,0,40,0,41,0,3,0,0,NO
1,75,0,37,1,38,1,2,2,4,NO
0,165,0,83,0,83,0,2,0,2,NO
0,38,0,38,0,38,0,1,0,0,NO
0,65,0,16,0,20,0,4,0,0,NO
1,154,71,25,72,28,1,21,1,22,NO
0,22,0,22,0,22,0,1,0,0,NO
0,95,0,95,0,95,0,1,0,0,NO
0,76,0,76,0,76,0,1,0,0,NO
2,118,59,59,61,61,2,2,3,3,YES
1,62,62,62,62,62,1,1,1,1,NO
1,90,90,90,90,90,1,1,1,1,NO
0,28,0,28,0,28,0,1,0,2,NO
0,45,0,45,0,45,0,1,0,0,NO
0,43,0,43,0,43,0,1,0,2,NO
0,429,0,429,0,429,0,1,0,0,NO
0,70,0,70,0,70,0,1,0,0,NO
0,65,0,22,0,22,0,3,0,0,NO
1,236,0,33,1,40,1,7,0,8,NO
1,45,45,45,45,45,1,1,1,1,NO
1,63,63,63,63,63,1,1,1,1,NO
0,50,0,12,0,14,0,4,0,1,NO
1,36,36,36,36,36,1,1,1,1,NO
0,3680,0,525,0,529,0,7,0,1,NO
0,63,0,63,0,63,0,1,0,0,NO
0,85,0,85,0,85,0,1,0,2,NO
0,83,0,83,0,83,0,1,0,0,NO
0,25,0,25,0,25,0,1,0,0,NO
0,26,0,26,0,26,0,1,0,0,NO
0,83,0,9,0,10,0,9,0,6,NO
0,172,0,17,0,20,0,10,0,4,NO
1,164,12,54,38,64,1,3,1,4,NO
0,81,0,11,0,15,0,7,0,2,NO
0,321,0,321,0,321,0,1,0,1,NO
0,54,0,54,0,54,0,1,0,2,NO
0,45,0,45,0,45,0,1,0,0,NO
0,81,0,81,0,81,0,1,0,2,NO
1,70,0,35,1,35,1,2,0,2,NO
1,75,75,75,75,75,1,1,1,1,NO
2,781,51,22,71,40,4,35,4,40,YES
0,36,0,36,0,36,0,1,0,3,NO
0,23,0,23,0,23,0,1,0,0,NO
0,20,0,20,0,20,0,1,0,0,NO
0,151,0,50,0,51,0,3,0,4,NO
0,91,0,22,0,34,0,4,0,3,NO
0,882,0,36,0,50,0,24,0,28,NO
2,349,3,18,20,26,3,19,2,25,YES
1,351,0,43,1,47,1,8,0,12,NO
0,89,0,44,0,45,0,2,0,0,NO
0,63,0,31,0,32,0,2,0,0,NO
0,150,0,13,0,23,0,11,0,14,NO
0,83,0,21,0,22,0,4,0,0,NO
0,46,0,46,0,46,0,1,0,0,NO
2,574,10,26,26,33,5,22,5,26,NO
1,26,26,26,26,26,1,1,1,1,NO
0,29,0,29,0,29,0,1,0,1,NO
1,62,2,20,17,28,1,3,1,4,YES
0,34,0,17,0,18,0,2,0,0,NO
0,600,0,200,0,203,0,3,0,6,NO
0,49,0,49,0,49,0,1,0,0,NO
0,254,0,84,0,85,0,3,0,3,NO
0,334,0,334,0,334,0,1,0,0,NO
0,144,0,144,0,144,0,1,0,0,NO
0,495,0,49,0,67,0,10,0,11,NO
0,149,0,25,0,29,0,6,0,1,NO
0,65,0,97,0,100,0,4,0,0,NO
0,116,0,-18,0,10,0,12,0,5,NO
0,394,0,131,0,132,0,3,0,2,NO
0,58,0,58,0,58,0,1,0,0,NO
0,148,0,148,0,148,0,1,0,0,NO
0,935,0,85,0,100,0,11,0,12,NO
0,44,0,22,0,23,0,2,0,0,NO
0,67,0,22,0,24,0,3,0,2,NO
0,78,0,19,0,21,0,4,0,1,NO
0,96,0,96,0,96,0,1,0,0,NO
0,30,0,30,0,30,0,1,0,0,NO
0,34,0,34,0,34,0,1,0,0,NO
0,25,0,25,0,25,0,1,0,0,NO
0,44,0,44,0,44,0,1,0,0,NO
0,562,0,281,0,282,0,2,0,3,NO
0,164,0,18,0,20,0,9,0,5,NO
0,136,0,11,0,28,0,12,0,4,NO
0,129,0,65,0,65,0,2,0,1,NO
0,380,0,21,0,52,0,18,0,12,NO
1,429,-19,25,1,39,1,17,2,28,NO
0,84,0,21,0,22,0,4,0,0,NO
1,70,70,70,70,70,1,1,1,1,NO
0,146,0,146,0,146,0,1,0,0,NO
0,117,0,58,0,59,0,2,0,1,YES
0,98,0,98,0,98,0,1,0,0,YES
2,493,246,246,339,339,2,2,2,2,NO
2,510,127,127,150,150,4,4,4,4,NO
0,70,0,-3,0,9,0,1,0,0,NO
0,88,0,-1,0,5,0,2,0,3,NO
0,309,0,1,0,15,0,2,0,1,NO
