@relation dataset-17-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {YES,NO}
@data
0,49,0,6,0,7,0,23,0,6,NO
0,73,0,73,0,73,0,2,0,2,NO
0,58,0,58,0,58,0,2,0,2,YES
0,30,0,30,0,30,0,2,0,2,NO
0,33,0,33,0,33,0,2,0,2,NO
0,52,0,4,0,16,0,33,0,12,NO
1,104,104,104,104,104,2,2,2,2,YES
0,74,0,11,0,12,0,19,0,2,NO
0,875,0,29,0,122,0,60,0,32,YES
0,45,0,45,0,45,0,2,0,2,YES
0,118,0,15,0,15,0,23,0,6,YES
0,132,0,14,0,16,0,25,0,6,NO
0,74,0,11,0,11,0,19,0,4,YES
0,46,0,23,0,23,0,4,0,6,NO
0,117,0,11,0,13,0,26,0,4,YES
0,108,0,108,0,108,0,2,0,2,YES
1,1175,4,20,8,55,4,151,8,144,YES
0,153,0,30,0,32,0,10,0,8,YES
0,306,0,30,0,36,0,20,0,28,YES
0,36,0,9,0,10,0,8,0,8,NO
0,42,0,42,0,42,0,2,0,2,YES
0,167,0,8,0,21,0,58,0,28,YES
0,27,0,3,0,4,0,16,0,2,NO
0,156,0,9,0,12,0,34,0,26,YES
0,89,0,9,0,10,0,18,0,4,NO
0,79,0,79,0,79,0,2,0,2,NO
0,113,0,13,0,14,0,23,0,4,YES
0,73,0,73,0,73,0,2,0,2,YES
0,81,0,41,0,42,0,4,0,2,YES
0,43,0,43,0,43,0,2,0,2,NO
0,48,0,48,0,48,0,2,0,2,NO
0,184,0,24,0,25,0,23,0,8,NO
0,135,0,16,0,17,0,25,0,8,NO
0,173,0,86,0,91,0,4,0,6,YES
0,36,0,36,0,36,0,2,0,2,NO
0,157,0,7,0,12,0,51,0,30,YES
0,1172,0,22,0,33,0,128,0,90,YES
0,55,0,5,0,10,0,22,0,6,NO
0,43,0,5,0,7,0,16,0,2,NO
0,65,0,65,0,65,0,2,0,2,YES
0,80,0,80,0,80,0,2,0,2,YES
0,137,0,137,0,137,0,2,0,2,YES
0,126,0,10,0,26,0,33,0,12,NO
0,54,0,55,0,55,0,2,0,0,NO
0,282,0,141,0,142,0,4,0,4,NO
0,25,0,2,0,3,0,24,0,8,NO
0,65,0,65,0,65,0,2,0,2,NO
0,90,0,22,0,23,0,8,0,10,NO
0,40,0,40,0,40,0,2,0,2,NO
2,811,3,17,6,47,4,94,2,92,YES
0,114,0,114,0,114,0,2,0,0,NO
0,54,0,27,0,27,0,4,0,4,NO
0,225,0,20,0,25,0,22,0,36,YES
0,595,0,23,0,35,0,50,0,76,YES
1,343,14,12,20,18,2,54,2,62,YES
0,20,0,20,0,20,0,2,0,2,NO
0,68,0,34,0,34,0,4,0,4,NO
0,118,0,59,0,59,0,4,0,4,NO
0,373,0,9,0,22,0,98,0,68,YES
0,151,0,6,0,49,0,88,0,62,YES
0,45,0,2,0,6,0,16,0,2,NO
0,37,0,1,0,5,0,16,0,2,NO
0,102,0,5,0,6,0,52,0,26,YES
0,144,0,6,0,11,0,73,0,36,NO
0,72,0,72,0,72,0,2,0,4,YES
0,63,0,31,0,32,0,4,0,4,NO
0,85,0,85,0,85,0,2,0,2,YES
0,75,0,75,0,75,0,2,0,2,YES
0,77,0,38,0,40,0,4,0,4,NO
0,63,0,63,0,63,0,2,0,2,NO
0,46,0,46,0,46,0,2,0,2,NO
0,46,0,46,0,46,0,2,0,2,NO
0,55,0,55,0,55,0,2,0,2,YES
0,79,0,79,0,79,0,2,0,2,NO
0,80,0,80,0,80,0,2,0,4,NO
0,35,0,5,0,5,0,19,0,2,NO
0,39,0,6,0,6,0,19,0,2,NO
1,111,111,111,111,111,2,2,2,2,NO
0,106,0,13,0,15,0,23,0,4,YES
0,52,0,7,0,8,0,21,0,2,NO
0,65,0,65,0,65,0,2,0,2,NO
0,45,0,5,0,5,0,24,0,4,NO
0,96,0,11,0,12,0,25,0,8,NO
0,31,0,4,0,4,0,21,0,4,NO
0,60,0,8,0,8,0,21,0,4,NO
0,36,0,5,0,5,0,21,0,4,NO
0,126,0,16,0,16,0,21,0,4,NO
0,76,0,9,0,10,0,23,0,4,NO
0,36,0,5,0,5,0,21,0,4,NO
0,31,0,4,0,4,0,21,0,4,NO
0,76,0,38,0,38,0,4,0,4,NO
0,35,0,5,0,5,0,21,0,4,NO
0,135,0,15,0,16,0,23,0,6,NO
1,685,0,44,8,56,2,41,2,16,YES
0,201,0,100,0,104,0,4,0,4,NO
0,77,0,77,0,77,0,2,0,2,NO
0,42,0,6,0,6,0,21,0,4,NO
0,184,0,23,0,24,0,21,0,4,NO
0,138,0,14,0,15,0,25,0,6,NO
0,632,0,33,0,48,0,41,0,26,YES
0,78,0,78,0,78,0,2,0,2,NO
1,377,0,125,6,128,2,6,4,6,NO
1,41,41,41,41,41,2,2,4,4,YES
3,863,16,18,17,29,6,118,6,102,YES
0,48,0,4,0,5,0,22,0,10,NO
0,264,0,10,0,27,0,65,0,52,NO
0,34,0,34,0,34,0,2,0,2,NO
0,38,0,4,0,6,0,16,0,2,NO
0,28,0,3,0,4,0,16,0,2,NO
0,415,0,415,0,415,0,2,0,2,NO
0,33,0,4,0,5,0,16,0,2,NO
0,76,0,76,0,76,0,2,0,2,NO
0,160,0,6,0,8,0,64,0,44,YES
0,434,0,31,0,35,0,28,0,40,YES
3,567,2,6,8,15,6,46,6,62,YES
0,87,0,2,0,4,0,6,0,4,YES
0,31,0,0,0,3,0,2,0,2,NO
0,130,0,21,0,25,0,12,0,14,YES
0,63,0,63,0,63,0,2,0,2,NO
0,67,0,67,0,67,0,2,0,2,YES
0,72,0,11,0,12,0,22,0,8,YES
0,70,0,11,0,12,0,18,0,4,YES
0,35,0,17,0,18,0,4,0,4,NO
0,36,0,18,0,18,0,4,0,4,NO
0,343,0,114,0,115,0,6,0,6,YES
0,42,0,42,0,42,0,2,0,2,NO
0,94,0,8,0,10,0,31,0,18,YES
0,33,0,16,0,18,0,4,0,4,NO
0,353,0,88,0,126,0,8,0,12,YES
0,24,0,12,0,12,0,4,0,4,NO
0,60,0,30,0,30,0,4,0,4,NO
0,86,0,43,0,44,0,4,0,4,NO
0,30,0,30,0,30,0,2,0,2,NO
0,56,0,56,0,56,0,2,0,2,YES
0,77,0,77,0,77,0,2,0,2,YES
0,64,0,21,0,22,0,6,0,8,YES
0,194,0,16,0,19,0,24,0,12,YES
0,93,0,46,0,47,0,4,0,4,NO
0,198,0,99,0,100,0,4,0,4,NO
0,149,0,74,0,75,0,4,0,4,NO
0,144,0,71,0,72,0,4,0,4,NO
0,767,0,76,0,77,0,20,0,18,YES
0,373,0,46,0,48,0,16,0,4,YES
0,1042,0,19,0,66,0,145,0,144,YES
0,291,0,41,0,45,0,14,0,4,YES
0,34,0,34,0,34,0,2,0,2,NO
0,169,0,169,0,169,0,2,0,2,NO
0,128,0,64,0,67,0,4,0,6,YES
0,168,0,168,0,168,0,2,0,2,NO
0,34,0,34,0,34,0,2,0,2,NO
0,28,0,28,0,28,0,2,0,2,NO
0,25,0,26,0,26,0,2,0,2,NO
0,78,0,39,0,40,0,4,0,4,YES
0,121,0,15,0,19,0,16,0,22,YES
0,41,0,41,0,41,0,2,0,2,YES
0,34,0,34,0,34,0,2,0,2,NO
0,115,0,23,0,24,0,10,0,14,YES
0,104,0,20,0,23,0,10,0,10,YES
0,299,0,100,0,100,0,6,0,6,YES
