@relation dataset-2-testing
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
2,0,41,0,7,0,8,0,17,0,0,0
2,0,47,0,7,0,8,0,19,0,0,1
2,0,73,0,12,0,13,0,17,0,0,0
2,0,809,0,44,0,185,0,36,0,4,1
2,0,119,0,18,0,18,0,19,0,0,1
2,0,135,0,17,0,18,0,21,0,0,0
2,0,65,0,11,0,12,0,17,0,0,0
2,0,80,0,10,0,11,0,22,0,0,1
2,1,941,13,39,89,94,2,67,6,24,1
2,0,36,0,11,0,13,0,6,0,4,1
2,0,171,0,13,0,33,0,36,0,4,1
2,0,27,0,3,0,4,0,14,0,0,0
2,0,101,0,11,0,12,0,18,0,2,1
2,0,62,0,8,0,9,0,14,0,0,1
2,0,35,0,5,0,6,0,14,0,0,0
2,0,75,0,11,0,12,0,19,0,0,1
2,0,81,0,81,0,81,0,2,0,0,1
2,0,189,0,33,0,33,0,17,0,0,0
2,0,136,0,19,0,19,0,21,0,2,0
2,1,113,0,9,1,11,2,33,4,10,1
2,0,117,0,117,0,117,0,2,0,0,0
2,0,719,0,31,0,36,0,60,0,12,1
2,0,80,0,8,0,10,0,18,0,2,0
2,0,42,0,6,0,6,0,14,0,0,0
2,0,48,0,6,0,8,0,14,0,0,0
2,0,524,0,524,0,524,0,2,0,0,0
2,0,115,0,14,0,35,0,23,0,0,0
2,0,24,0,2,0,3,0,20,0,2,1
2,1,90,90,90,90,90,2,2,2,2,0
2,0,27,0,4,0,4,0,14,0,0,0
2,0,564,0,29,0,62,0,38,0,18,1
2,0,144,0,28,0,31,0,10,0,16,1
2,0,437,0,109,0,110,0,8,0,16,1
2,0,222,0,55,0,57,0,8,0,6,1
2,0,239,0,15,0,36,0,46,0,10,1
2,0,341,0,21,0,82,0,46,0,8,1
2,0,26,0,3,0,4,0,14,0,0,0
2,0,356,0,22,0,57,0,45,0,6,0
2,0,24,0,3,0,4,0,14,0,0,0
2,0,97,0,8,0,9,0,34,0,4,1
2,0,77,0,10,0,12,0,21,0,0,0
2,0,31,0,16,0,16,0,4,0,4,0
2,0,160,0,9,0,13,0,47,0,8,1
2,0,61,0,9,0,10,0,19,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,41,0,7,0,7,0,17,0,0,0
2,0,104,0,16,0,17,0,19,0,0,1
2,0,56,0,8,0,9,0,19,0,0,0
2,0,39,0,5,0,6,0,20,0,0,0
2,0,97,0,17,0,17,0,17,0,0,0
2,0,32,0,5,0,5,0,17,0,0,0
2,0,50,0,8,0,8,0,17,0,0,0
2,0,37,0,6,0,6,0,17,0,0,0
2,0,90,0,15,0,16,0,17,0,0,0
2,0,68,0,10,0,11,0,19,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,32,0,5,0,5,0,17,0,0,0
2,0,36,0,6,0,6,0,17,0,0,0
2,0,91,0,16,0,16,0,17,0,0,0
2,0,458,0,54,0,56,0,25,0,0,1
2,0,43,0,7,0,7,0,17,0,0,0
2,0,128,0,22,0,22,0,17,0,0,0
2,0,96,0,15,0,15,0,19,0,0,0
2,0,303,0,31,0,36,0,23,0,0,1
2,0,570,0,39,0,47,0,42,0,10,1
2,0,27,0,3,0,4,0,14,0,0,0
2,0,175,0,15,0,37,0,35,0,6,1
2,0,39,0,5,0,6,0,14,0,0,0
2,0,31,0,4,0,5,0,14,0,0,0
2,0,24,0,3,0,4,0,14,0,0,0
2,0,80,0,7,0,9,0,32,0,4,1
2,0,48,0,6,0,7,0,16,0,2,1
2,0,31,0,4,0,5,0,14,0,0,1
2,0,65,0,9,0,10,0,21,0,2,1
2,0,203,0,18,0,26,0,22,0,6,0
2,1,124,5,24,6,30,2,10,4,10,0
2,0,113,0,11,0,16,0,20,0,4,0
2,1,78,7,19,8,21,2,8,4,8,0
2,0,158,0,19,0,20,0,16,0,0,1
