"Release","File","# Authors in Release","LOC","Avg Churn in Release","# Revision in Release","Avg LOC Added in release","Feature 6","Feature 7","Feature 8","Feature 9","Feature 10","Buggy"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java","1","194","64","3","68","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","1","244","122","2","128","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java","3","406","81","5","96","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","2","124","31","4","54","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","4","688","5","34","34","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","2","46","23","2","24","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","4","135","12","5","19","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java","2","28","14","2","15","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","2","162","3","4","6","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java","1","177","88","2","91","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","4","426","1","21","22","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java","1","36","36","1","36","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","3","230","13","9","21","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","3","342","85","4","90","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","3","459","65","7","70","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java","1","29","29","1","29","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java","1","60","30","2","34","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java","2","169","42","4","48","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java","2","519","173","3","177","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java","1","143","47","3","48","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","4","42","30","15","13","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java","1","25","12","2","36","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java","3","710","101","7","108","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java","1","54","54","1","54","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","3","56","7","10","10","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","1","80","40","2","53","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java","1","47","23","2","25","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","3","147","2","5","4","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java","1","82","82","1","82","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","1","133","0","1","0","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","3","126","2","6","22","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","3","254","6","5","7","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","3","195","1","7","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","4","524","10","15","47","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","3","720","72","10","92","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","2","50","1","3","4","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","3","166","0","8","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","3","59","0","4","4","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","3","135","2","10","6","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","3","73","0","4","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","2","76","0","3","14","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","4","815","15","21","49","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","4","281","8","12","12","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","3","154","2","10","9","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","4","138","2","12","6","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","3","76","3","5","6","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","3","153","4","6","7","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","4","171","2","7","5","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","2","115","10","11","15","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","2","72","36","2","36","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","3","81","1","3","7","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","2","77","0","2","0","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","3","102","25","4","26","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","2","249","35","7","37","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","3","495","49","10","52","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java","1","25","25","1","25","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java","1","80","40","2","40","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java","3","255","42","6","44","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","2","158","52","3","62","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java","2","457","91","5","98","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java","1","189","94","2","94","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java","1","133","66","2","67","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java","1","89","44","2","45","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java","1","119","119","1","119","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java","1","213","213","1","213","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java","4","205","4","10","7","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java","3","155","12","7","14","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java","3","457","13","20","19","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java","1","81","81","1","81","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java","1","53","53","1","53","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java","3","119","22","3","25","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java","3","477","0","12","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","4","625","5","19","14","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java","1","134","0","1","0","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java","2","157","0","3","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java","2","134","0","3","3","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","3","83","87","7","9","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java","1","598","299","2","300","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java","1","50","50","1","50","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java","4","231","4","9","28","null","null","null","null","null","null"
