"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"1","AbstractBenchmark.java","2","95","31","31","47","47","3","3","0","0","1"
"1","AbstractConfiguration.java","3","49","22","22","23","23","4","4","2","2","1"
"1","AbstractSubscriptionManager.java","2","407","101","101","106","106","4","4","1","1","1"
"1","AbstractTopicManager.java","3","178","44","44","47","47","4","4","1","1","1"
"1","AbstractZkLedgerManager.java","1","228","114","114","115","115","2","2","3","3","0"
"1","AllToAllTopologyFilter.java","1","36","36","36","36","36","1","1","0","0","0"
"1","AsyncCallback.java","3","124","20","20","39","39","6","6","2","2","1"
"1","BaseHandler.java","2","58","29","29","36","36","2","2","0","0","0"
"1","BenchmarkPublisher.java","2","120","40","40","42","42","3","3","0","0","1"
"1","BenchmarkSubscriber.java","2","124","31","31","34","34","4","4","0","0","1"
"1","BenchmarkUtils.java","2","160","53","53","54","54","3","3","0","0","1"
"1","BenchmarkWorker.java","2","42","21","21","21","21","2","2","0","0","0"
"1","BKException.java","3","244","49","49","50","50","5","5","1","1","1"
"1","Bookie.java","3","924","61","61","75","75","15","15","11","11","1"
"1","BookieBenchmark.java","3","95","19","19","27","27","5","5","2","2","1"
"1","BookieClient.java","3","163","20","20","23","23","8","8","5","5","1"
"1","BookieException.java","3","83","20","20","27","27","4","4","1","1","0"
"1","BookieProtocol.java","3","139","27","27","29","29","5","5","1","1","1"
"1","BookieServer.java","3","354","29","29","37","37","12","12","8","8","1"
"1","BookieWatcher.java","2","185","37","37","38","38","5","5","1","1","1"
"1","BookKeeper.java","3","494","49","49","94","94","10","10","5","5","1"
"1","BookKeeperAdmin.java","2","656","109","109","139","139","6","6","5","5","1"
"1","BookkeeperBenchmark.java","3","83","20","20","28","28","4","4","0","0","1"
"1","BookkeeperInternalCallbacks.java","3","119","30","30","31","31","4","4","1","1","0"
"1","BookkeeperPersistenceManager.java","2","664","221","221","267","267","3","3","0","0","1"
"1","BookKeeperTools.java","3","83","11","11","107","107","7","7","1","1","0"
"1","BufferedChannel.java","2","162","32","32","35","35","5","5","1","1","0"
"1","ByteStringInterner.java","1","41","41","41","41","41","1","1","0","0","0"
"1","CacheKey.java","2","67","33","33","34","34","2","2","0","0","0"
"1","CacheValue.java","2","85","28","28","29","29","3","3","0","0","0"
"1","Callback.java","2","43","21","21","23","23","2","2","0","0","0"
"1","CallbackUtils.java","3","165","41","41","46","46","4","4","1","1","0"
"1","ChannelDisconnectListener.java","2","27","13","13","14","14","2","2","0","0","0"
"1","ChannelEndPoint.java","1","73","73","73","73","73","1","1","0","0","1"
"1","ChannelTracker.java","2","112","56","56","57","57","2","2","0","0","0"
"1","Client.java","1","38","38","38","38","38","1","1","0","0","0"
"1","ClientChannelPipelineFactory.java","2","53","17","17","19","19","3","3","0","0","0"
"1","ClientConfiguration.java","3","135","47","47","48","48","7","7","7","7","1"
"1","ConcurrencyUtils.java","1","45","45","45","45","45","1","1","0","0","0"
"1","ConnectCallback.java","2","111","27","27","29","29","4","4","0","0","1"
"1","ConsumeHandler.java","2","58","29","29","29","29","2","2","0","0","0"
"1","CRC32DigestManager.java","2","45","15","15","16","16","3","3","0","0","0"
"1","DeliveryCallback.java","1","25","25","25","25","25","1","1","0","0","0"
"1","DeliveryEndPoint.java","1","26","26","26","26","26","1","1","0","0","0"
"1","DeliveryManager.java","2","27","13","13","14","14","2","2","0","0","1"
"1","DigestManager.java","3","167","27","27","31","31","6","6","0","0","1"
"1","DistributionSchedule.java","3","55","13","13","15","15","4","4","0","0","1"
"1","Either.java","1","45","45","45","45","45","1","1","0","0","0"
"1","EntryLogger.java","3","424","42","42","57","57","10","10","6","6","0"
"1","Factory.java","1","20","20","20","20","20","1","1","0","0","0"
"1","FakeBookie.java","2","91","30","30","45","45","3","3","0","0","0"
"1","FIFODeliveryManager.java","3","510","127","127","135","135","4","4","2","2","1"
"1","FileInfo.java","3","184","30","30","31","31","6","6","2","2","1"
"1","FileUtils.java","2","89","44","44","45","45","2","2","0","0","0"
"1","FlatLedgerManager.java","1","174","174","174","174","174","1","1","1","1","1"
"1","Handler.java","2","34","17","17","18","18","2","2","0","0","0"
"1","HedwigBenchmark.java","3","116","23","23","25","25","5","5","1","1","0"
"1","HedwigClient.java","2","65","97","97","100","100","4","4","0","0","0"
"1","HedwigClientImpl.java","1","333","333","333","333","333","1","1","0","0","1"
"1","HedwigHubClient.java","2","44","22","22","23","23","2","2","0","0","0"
"1","HedwigHubClientFactory.java","2","54","27","27","27","27","2","2","0","0","1"
"1","HedwigHubSubscriber.java","2","63","21","21","23","23","3","3","0","0","0"
"1","HedwigProxy.java","2","144","36","36","38","38","4","4","0","0","1"
"1","HedwigPublisher.java","2","208","41","41","44","44","5","5","0","0","1"
"1","HedwigSocketAddress.java","1","125","125","125","125","125","1","1","0","0","1"
"1","HedwigSubscriber.java","2","528","132","132","145","145","4","4","0","0","1"
"1","HierarchicalLedgerManager.java","1","463","463","463","463","463","1","1","1","1","1"
"1","InMemorySubscriptionManager.java","2","71","35","35","37","37","2","2","0","0","1"
"1","InMemorySubscriptionState.java","2","58","29","29","29","29","2","2","0","0","1"
"1","InvalidSubscriberIdException.java","1","34","34","34","34","34","1","1","0","0","0"
"1","LedgerCache.java","3","496","62","62","70","70","8","8","5","5","1"
"1","LedgerCreateOp.java","3","142","15","15","21","21","9","9","5","5","0"
"1","LedgerDeleteOp.java","3","73","14","14","16","16","5","5","1","1","0"
"1","LedgerDescriptor.java","3","135","22","22","25","25","6","6","2","2","1"
"1","LedgerEntry.java","2","76","19","19","29","29","4","4","0","0","0"
"1","LedgerEntryPage.java","3","142","35","35","37","37","4","4","1","1","1"
"1","LedgerHandle.java","3","686","52","52","102","102","13","13","7","7","1"
"1","LedgerInputStream.java","2","157","39","39","41","41","4","4","0","0","0"
"1","LedgerLayout.java","1","184","184","184","184","184","1","1","1","1","0"
"1","LedgerManager.java","1","130","130","130","130","130","1","1","1","1","1"
"1","LedgerManagerFactory.java","1","89","89","89","89","89","1","1","1","1","0"
"1","LedgerMetadata.java","3","224","28","28","32","32","8","8","3","3","1"
"1","LedgerOpenOp.java","3","153","15","15","21","21","10","10","6","6","1"
"1","LedgerOutputStream.java","2","134","33","33","36","36","4","4","0","0","0"
"1","LedgerRecoveryOp.java","3","177","25","25","29","29","7","7","3","3","1"
"1","LocalBookKeeper.java","3","211","30","30","57","57","7","7","2","2","1"
"1","LocalDBPersistenceManager.java","2","385","128","128","132","132","3","3","0","0","1"
"1","MacDigestManager.java","3","61","12","12","14","14","5","5","1","1","0"
"1","Main.java","3","49","12","12","13","13","4","4","1","1","0"
"1","MapMethods.java","1","56","56","56","56","56","1","1","0","0","0"
"1","MarkerFileChannel.java","1","133","66","66","66","66","2","2","0","0","0"
"1","MathUtils.java","2","35","11","11","13","13","3","3","0","0","1"
"1","MessageConsumeCallback.java","2","87","21","21","24","24","4","4","0","0","0"
"1","MessageConsumeData.java","2","53","26","26","27","27","2","2","0","0","0"
"1","MessageFilter.java","2","28","14","14","14","14","2","2","0","0","0"
"1","MessageHandler.java","2","44","14","14","17","17","3","3","0","0","0"
"1","MessageIdUtils.java","2","138","69","69","70","70","2","2","0","0","0"
"1","MySqlClient.java","2","124","31","31","54","54","4","4","0","0","0"
"1","NIOServerFactory.java","3","480","53","53","56","56","9","9","3","3","1"
"1","Option.java","1","39","39","39","39","39","1","1","0","0","0"
"1","OrderedSafeExecutor.java","2","89","29","29","31","31","3","3","0","0","1"
"1","Pair.java","1","38","38","38","38","38","1","1","0","0","0"
