"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"7","AbstractBenchmark.java","0","96","0","24","0","36","0","4","0","1","0"
"7","AbstractConfiguration.java","0","57","0","16","0","17","0","13","0","11","0"
"7","AbstractDNSToSwitchMapping.java","0","128","0","128","0","128","0","1","0","2","0"
"7","AbstractHChannelManager.java","0","562","0","281","0","281","0","2","0","0","0"
"7","AbstractResponseHandler.java","0","141","0","141","0","141","0","1","0","0","0"
"7","AbstractSubscribeResponseHandler.java","0","340","0","113","0","121","0","3","0","5","0"
"7","AbstractSubscriptionManager.java","0","724","0","38","0","46","0","19","0","15","0"
"7","AbstractTopicManager.java","1","283","44","35","53","41","1","8","1","6","0"
"7","AbstractZkLedgerManager.java","1","434","7","23","12","33","1","19","1","25","0"
"7","ActiveSubscriber.java","0","344","0","115","0","118","0","3","0","3","0"
"7","AllToAllTopologyFilter.java","0","68","0","23","0","25","0","3","0","0","0"
"7","AlreadyStartDeliveryException.java","0","33","0","33","0","33","0","1","0","2","0"
"7","AsyncCallback.java","0","136","0","17","0","32","0","8","0","5","0"
"7","Auditor.java","2","501","5","33","19","46","7","15","10","19","0"
"7","AuditorElector.java","1","324","15","32","16","41","2","10","4","12","0"
"7","AutoRecoveryMain.java","3","256","2","19","3","22","4","13","6","11","0"
"7","BaseHandler.java","0","61","0","20","0","25","0","3","0","0","0"
"7","BenchBookie.java","1","191","-3","31","11","36","1","6","0","3","0"
"7","BenchmarkPublisher.java","0","127","0","21","0","22","0","6","0","5","0"
"7","BenchmarkSubscriber.java","0","134","0","16","0","19","0","8","0","5","0"
"7","BenchmarkUtils.java","0","172","0","34","0","36","0","5","0","2","0"
"7","BenchmarkWorker.java","0","42","0","21","0","21","0","2","0","0","0"
"7","BenchReadThroughputLatency.java","0","247","0","49","0","52","0","5","0","5","0"
"7","BenchThroughputLatency.java","0","415","0","46","0","55","0","9","0","8","0"
"7","BinaryArithmeticFunction.java","0","166","0","166","0","166","0","1","0","0","0"
"7","BinaryExprFunction.java","0","46","0","46","0","46","0","1","0","0","0"
"7","BKException.java","1","328","11","27","11","28","1","12","2","7","0"
"7","BKMBeanInfo.java","0","25","0","25","0","25","0","1","0","0","0"
"7","BKMBeanRegistry.java","0","81","0","27","0","28","0","3","0","2","0"
"7","BKStats.java","0","224","0","112","0","112","0","2","0","1","0"
"7","Bookie.java","3","1145","4","15","9","34","5","75","5","91","0"
"7","BookieBean.java","0","46","0","23","0","24","0","2","0","1","0"
"7","BookieBenchmark.java","1","95","-1","11","4","17","1","8","0","4","0"
"7","BookieClient.java","2","325","15","14","57","23","3","22","2","26","0"
"7","BookieCriticalThread.java","0","41","0","41","0","41","0","1","0","0","0"
"7","BookieException.java","0","142","0","17","0","22","0","8","0","7","0"
"7","BookieLedgerIndexer.java","1","122","-1","24","4","26","1","5","0","4","0"
"7","BookieMXBean.java","0","28","0","14","0","15","0","2","0","1","0"
"7","BookieNettyServer.java","1","180","0","22","1","26","1","8","0","7","0"
"7","BookieProtocol.java","0","312","0","28","0","30","0","11","0","10","0"
"7","BookieProtoEncoding.java","0","175","0","58","0","61","0","3","0","4","0"
"7","BookieRequestHandler.java","1","82","1","13","2","48","1","6","0","4","0"
"7","BookieRequestProcessor.java","1","302","0","100","2","102","2","3","2","2","0"
"7","BookieServer.java","2","333","-1","7","4","17","2","44","1","47","0"
"7","BookieServerBean.java","1","74","-2","14","1","17","1","5","0","6","0"
"7","BookieServerMXBean.java","0","48","0","24","0","26","0","2","0","3","0"
"7","BookieShell.java","2","1266","179","90","212","97","2","14","2","14","0"
"7","BookiesListener.java","0","25","0","25","0","25","0","1","0","2","0"
"7","BookieSocketAddress.java","1","90","90","90","90","90","1","1","0","0","0"
"7","BookieThread.java","0","50","0","25","0","30","0","2","0","1","0"
"7","BookieWatcher.java","2","293","3","17","17","24","2","17","2","18","0"
"7","BookKeeper.java","2","819","27","24","50","45","2","33","4","36","0"
"7","BookKeeperAdmin.java","2","801","3","25","21","43","3","32","4","30","0"
"7","BookkeeperBenchmark.java","0","85","0","14","0","19","0","6","0","4","0"
"7","BookKeeperClientStats.java","1","39","2","19","2","19","1","2","0","1","0"
"7","BookKeeperConstants.java","0","41","0","20","0","21","0","2","0","2","0"
"7","BookkeeperInternalCallbacks.java","1","134","0","19","2","20","1","7","0","3","0"
"7","BookkeeperPersistenceManager.java","0","1137","0","63","0","89","0","18","0","19","0"
"7","BookKeeperTools.java","1","80","-3","8","8","76","1","10","0","2","0"
"7","BufferedChannel.java","0","184","0","20","0","31","0","9","0","5","0"
"7","BufferedChannelBase.java","0","50","0","50","0","50","0","1","0","0","0"
"7","BufferedReadChannel.java","0","93","0","93","0","93","0","1","0","0","0"
"7","BytesMessageImpl.java","0","592","0","592","0","592","0","1","0","0","0"
"7","ByteStringInterner.java","0","35","0","17","0","21","0","2","0","0","0"
"7","CacheCallback.java","1","31","31","31","31","31","1","1","1","1","0"
"7","CachedDNSToSwitchMapping.java","0","137","0","137","0","137","0","1","0","2","0"
"7","CacheKey.java","0","67","0","33","0","34","0","2","0","0","0"
"7","CacheValue.java","0","91","0","18","0","21","0","5","0","2","0"
"7","Callback.java","0","43","0","21","0","23","0","2","0","0","0"
"7","CallbackUtils.java","0","165","0","41","0","46","0","4","0","1","0"
"7","CancelScanRequest.java","0","25","0","25","0","25","0","1","0","2","0"
"7","ChannelDisconnectListener.java","0","27","0","13","0","14","0","2","0","0","0"
"7","ChannelEndPoint.java","0","81","0","27","0","27","0","3","0","4","0"
"7","ChannelTracker.java","0","119","0","40","0","41","0","3","0","0","0"
"7","CheckpointSource.java","0","75","0","37","0","38","0","2","0","4","0"
"7","CleanupChannelMap.java","0","165","0","83","0","83","0","2","0","2","0"
"7","CleanupLedgerManager.java","1","204","204","204","204","204","1","1","2","2","0"
"7","Client.java","0","38","0","38","0","38","0","1","0","0","0"
"7","ClientChannelPipelineFactory.java","0","65","0","16","0","20","0","4","0","0","0"
"7","ClientConfiguration.java","1","154","78","28","83","30","1","22","0","22","0"
"7","ClientMessageFilter.java","0","22","0","22","0","22","0","1","0","0","0"
"7","CloseSubscriptionHandler.java","0","95","0","95","0","95","0","1","0","0","0"
"7","CloseSubscriptionResponseHandler.java","0","76","0","76","0","76","0","1","0","0","0"
"7","CodahaleMetricsProvider.java","0","118","0","59","0","61","0","2","0","3","0"
"7","CodahaleOpStatsLogger.java","0","62","0","62","0","62","0","1","0","1","0"
"7","CodahaleStatsLogger.java","0","90","0","90","0","90","0","1","0","1","0"
"7","CommonConfigurationKeys.java","0","28","0","28","0","28","0","1","0","2","0"
"7","ConcurrencyUtils.java","0","45","0","45","0","45","0","1","0","0","0"
"7","Configurable.java","0","43","0","43","0","43","0","1","0","2","0"
"7","ConnectionImpl.java","0","429","0","429","0","429","0","1","0","0","0"
"7","ConnectionMetaDataImpl.java","0","70","0","70","0","70","0","1","0","0","0"
"7","ConsumeHandler.java","0","65","0","22","0","22","0","3","0","0","0"
"7","Cookie.java","2","257","10","28","17","35","2","9","1","9","0"
"7","Counter.java","0","45","0","45","0","45","0","1","0","1","0"
"7","CounterImpl.java","0","63","0","63","0","63","0","1","0","1","0"
"7","CRC32DigestManager.java","0","50","0","12","0","14","0","4","0","1","0"
"7","DaemonThreadFactory.java","0","36","0","36","0","36","0","1","0","1","0"
"7","DataFormats.java","0","3680","0","525","0","529","0","7","0","1","0"
"7","DebugUtil.java","0","63","0","63","0","63","0","1","0","0","0"
"7","DefaultEnsemblePlacementPolicy.java","1","84","-1","42","15","50","1","2","0","2","0"
"7","DefaultPerChannelBookieClientPool.java","1","80","80","80","80","80","1","1","0","0","0"
"7","DefaultServerChannel.java","0","83","0","83","0","83","0","1","0","0","0"
"7","DeliveryCallback.java","0","25","0","25","0","25","0","1","0","0","0"
"7","DeliveryEndPoint.java","0","26","0","26","0","26","0","1","0","0","0"
"7","DeliveryManager.java","0","83","0","9","0","10","0","9","0","6","0"
"7","DigestManager.java","0","172","0","17","0","20","0","10","0","4","0"
"7","DiskChecker.java","0","164","0","54","0","64","0","3","0","4","0"
"7","DistributionSchedule.java","0","81","0","11","0","15","0","7","0","2","0"
"7","DNS.java","0","321","0","321","0","321","0","1","0","1","0"
