@relation dataset13
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,0,41,0,0,0,0,0,0,0,0,0
1,0,47,0,0,0,0,0,0,0,0,1
1,0,73,0,0,0,0,0,0,0,0,1
1,0,809,0,0,0,0,0,0,0,0,1
1,0,119,0,0,0,0,0,0,0,0,0
1,0,135,0,0,0,0,0,0,0,0,0
1,0,65,0,0,0,0,0,0,0,0,0
1,0,80,0,0,0,0,0,0,0,0,0
1,1,941,941,941,941,941,1,1,3,3,1
1,0,36,0,0,0,0,0,0,0,0,1
1,0,171,0,0,0,0,0,0,0,0,0
1,0,27,0,0,0,0,0,0,0,0,1
1,0,101,0,0,0,0,0,0,0,0,0
1,0,62,0,0,0,0,0,0,0,0,1
1,0,35,0,0,0,0,0,0,0,0,0
1,0,75,0,0,0,0,0,0,0,0,0
1,0,81,0,0,0,0,0,0,0,0,0
1,0,189,0,0,0,0,0,0,0,0,0
1,0,136,0,0,0,0,0,0,0,0,1
1,1,113,113,113,113,113,1,1,2,2,1
1,0,117,0,0,0,0,0,0,0,0,0
1,0,719,0,0,0,0,0,0,0,0,1
1,0,80,0,0,0,0,0,0,0,0,1
1,0,42,0,0,0,0,0,0,0,0,1
1,0,48,0,0,0,0,0,0,0,0,0
1,0,524,0,0,0,0,0,0,0,0,1
1,0,115,0,0,0,0,0,0,0,0,0
1,0,24,0,0,0,0,0,0,0,0,1
1,1,90,90,90,90,90,1,1,1,1,1
1,0,27,0,0,0,0,0,0,0,0,0
1,0,564,0,0,0,0,0,0,0,0,0
1,0,144,0,0,0,0,0,0,0,0,1
1,0,437,0,0,0,0,0,0,0,0,0
1,0,222,0,0,0,0,0,0,0,0,1
1,0,239,0,0,0,0,0,0,0,0,1
1,0,341,0,0,0,0,0,0,0,0,1
1,0,26,0,0,0,0,0,0,0,0,1
1,0,356,0,0,0,0,0,0,0,0,0
1,0,24,0,0,0,0,0,0,0,0,1
1,0,97,0,0,0,0,0,0,0,0,0
1,0,77,0,0,0,0,0,0,0,0,0
1,0,31,0,0,0,0,0,0,0,0,1
1,0,160,0,0,0,0,0,0,0,0,1
1,0,61,0,0,0,0,0,0,0,0,1
1,0,36,0,0,0,0,0,0,0,0,0
1,0,41,0,0,0,0,0,0,0,0,0
1,0,104,0,0,0,0,0,0,0,0,1
1,0,56,0,0,0,0,0,0,0,0,0
