"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"22","AbstractFourLetterCommand.java","1","65","65","65","65","65","2","2","4","4","0"
"22","AckRequestProcessor.java","0","49","0","6","0","7","0","23","0","6","0"
"22","AclParser.java","0","73","0","73","0","73","0","2","0","2","0"
"22","AddAuthCommand.java","0","58","0","58","0","58","0","2","0","2","1"
"22","AdminServer.java","0","37","0","37","0","37","0","2","0","0","1"
"22","AdminServerFactory.java","0","57","0","57","0","57","0","2","0","0","0"
"22","AndOp.java","0","30","0","30","0","30","0","2","0","2","0"
"22","Arg.java","0","33","0","33","0","33","0","2","0","2","0"
"22","AsyncCallback.java","0","288","0","16","0","26","0","39","0","18","0"
"22","AtomicFileOutputStream.java","0","104","0","52","0","52","0","4","0","8","0"
"22","AtomicFileWritingIdiom.java","0","81","0","81","0","81","0","2","0","6","0"
"22","AuthenticationProvider.java","0","74","0","11","0","12","0","19","0","2","0"
"22","AuthFastLeaderElection.java","1","885","1","26","2","108","2","68","4","42","0"
"22","BasicDataEncryptionManager.java","0","45","0","22","0","45","0","4","0","2","1"
"22","BinaryInputArchive.java","1","117","3","12","11","14","2","27","6","18","1"
"22","BinaryOutputArchive.java","0","132","0","14","0","16","0","25","0","6","0"
"22","ByteBufferInputStream.java","0","74","0","10","0","11","0","21","0","10","0"
"22","ByteBufferOutputStream.java","0","46","0","23","0","23","0","4","0","6","0"
"22","CGenerator.java","0","117","0","11","0","13","0","26","0","4","1"
"22","CliCommand.java","0","112","0","56","0","60","0","4","0","4","1"
"22","ClientCnxn.java","4","1450","7","19","19","50","14","185","36","212","1"
"22","ClientCnxnSocket.java","2","204","23","25","28","27","4","16","10","20","1"
"22","ClientCnxnSocketNetty.java","2","393","131","131","133","133","6","6","18","18","1"
"22","ClientCnxnSocketNIO.java","1","387","-2","26","86","39","2","30","6","48","1"
"22","ClientWatchManager.java","0","36","0","9","0","10","0","8","0","8","0"
"22","CloseCommand.java","0","42","0","42","0","42","0","2","0","2","1"
"22","CnxnStatResetCommand.java","1","36","36","36","36","36","2","2","4","4","0"
"22","Command.java","0","62","0","62","0","62","0","2","0","0","0"
"22","CommandBase.java","0","60","0","60","0","60","0","2","0","0","0"
"22","CommandExecutor.java","1","73","37","37","37","37","4","4","4","4","0"
"22","CommandOutputter.java","0","32","0","32","0","32","0","2","0","0","0"
"22","CommandResponse.java","0","101","0","101","0","101","0","2","0","0","0"
"22","Commands.java","1","461","17","154","17","157","2","6","0","2","1"
"22","CommitProcessor.java","2","334","0","11","3","24","4","74","6","52","1"
"22","CommonNames.java","0","27","0","3","0","4","0","16","0","2","0"
"22","ConfCommand.java","1","35","35","35","35","35","2","2","4","4","0"
"22","ConfigUtils.java","1","54","0","27","1","27","2","4","6","6","1"
"22","ConnectionBean.java","1","156","0","8","2","12","2","36","4","30","0"
"22","ConnectionMXBean.java","0","89","0","9","0","10","0","18","0","4","0"
"22","ConnectStringParser.java","0","81","0","41","0","42","0","4","0","4","0"
"22","ConsCommand.java","1","38","38","38","38","38","2","2","4","4","0"
"22","ContainerManager.java","1","142","142","142","142","142","2","2","4","4","1"
"22","CppGenerator.java","0","113","0","13","0","14","0","23","0","4","1"
"22","CreateCommand.java","1","90","10","22","14","25","2","8","4","10","1"
"22","CreateMode.java","1","122","39","30","45","33","2","8","4","10","0"
"22","Credentials.java","0","43","0","43","0","43","0","2","0","2","0"
"22","CSharpGenerator.java","0","48","0","48","0","48","0","2","0","2","0"
"22","CsvInputArchive.java","0","184","0","24","0","25","0","23","0","8","0"
"22","CsvOutputArchive.java","0","135","0","16","0","17","0","25","0","8","0"
"22","DatadirCleanupManager.java","0","173","0","86","0","91","0","4","0","6","1"
"22","DataEncryptionManager.java","0","36","0","18","0","36","0","4","0","2","0"
"22","DataNode.java","1","166","5","7","6","12","4","55","10","40","1"
"22","DataTree.java","1","1350","20","21","29","31","4","150","8","112","1"
"22","DataTreeBean.java","0","55","0","5","0","10","0","22","0","6","0"
"22","DataTreeMXBean.java","0","43","0","5","0","7","0","16","0","2","0"
"22","DeleteAllCommand.java","0","65","0","65","0","65","0","2","0","2","1"
"22","DeleteCommand.java","0","80","0","40","0","40","0","4","0","4","1"
"22","DelQuotaCommand.java","0","137","0","137","0","137","0","2","0","2","1"
"22","DigestAuthenticationProvider.java","0","126","0","10","0","26","0","33","0","12","0"
"22","DigestLoginModule.java","0","54","0","55","0","55","0","2","0","0","0"
"22","DirsCommand.java","1","37","37","37","37","37","2","2","0","0","0"
"22","DistributedQueue.java","0","282","0","141","0","142","0","4","0","4","0"
"22","DummyAdminServer.java","0","36","0","36","0","36","0","2","0","0","0"
"22","DumpCommand.java","1","43","43","43","43","43","2","2","4","4","0"
"22","Election.java","0","25","0","2","0","3","0","24","0","8","0"
"22","Endpoint.java","0","65","0","65","0","65","0","2","0","2","0"
"22","EnvCommand.java","1","39","39","39","39","39","2","2","4","4","0"
"22","Environment.java","0","101","0","14","0","15","0","14","0","12","0"
"22","EqualsOp.java","0","40","0","40","0","40","0","2","0","2","0"
"22","ExitCode.java","1","25","25","25","25","25","2","2","2","2","0"
"22","ExpiryQueue.java","1","171","2","57","7","59","2","6","4","8","0"
"22","FastLeaderElection.java","2","968","2","16","7","44","4","116","10","138","1"
"22","FatJarMain.java","0","114","0","114","0","114","0","2","0","0","0"
"22","FileLoader.java","0","54","0","27","0","27","0","4","0","4","0"
"22","FileSnap.java","0","225","0","20","0","25","0","22","0","36","1"
"22","FileTxnLog.java","0","657","0","22","0","32","0","60","0","92","1"
"22","FileTxnSnapLog.java","0","369","0","12","0","18","0","60","0","74","1"
"22","FilterException.java","0","20","0","20","0","20","0","2","0","2","0"
"22","FilterOp.java","0","68","0","34","0","34","0","4","0","4","0"
"22","FilterParser.java","0","118","0","59","0","59","0","4","0","4","0"
"22","FinalRequestProcessor.java","3","446","4","9","14","21","6","118","14","96","1"
"22","Follower.java","2","181","0","7","1","46","4","96","6","70","1"
"22","FollowerBean.java","0","45","0","2","0","6","0","16","0","2","0"
"22","FollowerMXBean.java","0","37","0","1","0","5","0","16","0","2","0"
"22","FollowerRequestProcessor.java","2","131","1","5","2","6","4","64","6","42","0"
"22","FollowerZooKeeperServer.java","1","126","0","5","1","10","2","79","2","42","0"
"22","FourLetterCommands.java","1","161","80","80","80","80","4","4","4","4","1"
"22","FourLetterWordMain.java","1","129","29","43","36","48","4","6","10","14","1"
"22","Fs.java","0","63","0","31","0","32","0","4","0","4","0"
"22","GetAclCommand.java","0","85","0","85","0","85","0","2","0","2","1"
"22","GetCommand.java","0","75","0","75","0","75","0","2","0","2","1"
"22","GetConfigCommand.java","0","68","0","68","0","68","0","2","0","0","1"
"22","GraphData.java","0","77","0","38","0","40","0","4","0","4","0"
"22","GreaterThanOp.java","0","63","0","63","0","63","0","2","0","2","0"
"22","HostPort.java","0","46","0","46","0","46","0","2","0","2","0"
"22","HostPortSet.java","0","46","0","46","0","46","0","2","0","2","0"
"22","HostProvider.java","0","65","0","21","0","22","0","6","0","8","1"
"22","HTTPBasicAuth.java","0","79","0","79","0","79","0","2","0","2","0"
"22","IconResource.java","0","96","0","48","0","48","0","4","0","4","0"
"22","Index.java","0","35","0","5","0","5","0","19","0","2","0"
"22","InputArchive.java","0","39","0","6","0","6","0","19","0","2","0"
"22","IOUtils.java","0","111","0","111","0","111","0","2","0","2","0"
"22","IPAuthenticationProvider.java","0","119","0","13","0","15","0","25","0","8","0"
"22","IsroCommand.java","1","38","38","38","38","38","2","2","4","4","0"
"22","JavaGenerator.java","0","52","0","7","0","8","0","21","0","2","0"
"22","JAXBContextResolver.java","0","65","0","65","0","65","0","2","0","2","0"
"22","JBoolean.java","0","45","0","5","0","5","0","24","0","4","0"
"22","JBuffer.java","0","96","0","11","0","12","0","25","0","8","0"
"22","JByte.java","0","31","0","4","0","4","0","21","0","4","0"
"22","JCompType.java","0","60","0","8","0","8","0","21","0","4","0"
"22","JDouble.java","0","36","0","5","0","5","0","21","0","4","0"
"22","JettyAdminServer.java","1","171","12","85","24","91","2","4","4","4","1"
"22","JField.java","0","126","0","16","0","16","0","21","0","4","0"
"22","JFile.java","0","76","0","9","0","10","0","23","0","4","0"
"22","JFloat.java","0","36","0","5","0","5","0","21","0","4","0"
"22","JInt.java","0","31","0","4","0","4","0","21","0","4","0"
"22","JLineZNodeCompleter.java","0","78","0","1","0","2","0","4","0","4","0"
"22","JLong.java","0","35","0","5","0","5","0","21","0","4","0"
"22","JMap.java","0","135","0","15","0","16","0","23","0","6","0"
"22","JRecord.java","0","685","0","44","0","56","0","41","0","16","1"
"22","JsonGenerator.java","0","201","0","100","0","104","0","4","0","4","0"
"22","JsonOutputter.java","0","62","0","62","0","62","0","2","0","0","1"
"22","JsonServlet.java","0","77","0","77","0","77","0","2","0","2","0"
"22","JString.java","0","42","0","6","0","6","0","21","0","4","0"
"22","JType.java","0","184","0","23","0","24","0","21","0","4","0"
"22","JVector.java","0","138","0","14","0","15","0","25","0","6","0"
"22","KeeperException.java","0","719","0","31","0","44","0","49","0","34","1"
"22","KeeperExceptionMapper.java","0","78","0","78","0","78","0","2","0","2","0"
"22","KerberosName.java","0","377","0","125","0","128","0","6","0","6","0"
"22","KerberosUtil.java","0","41","0","41","0","41","0","2","0","4","1"
"22","Leader.java","3","1242","0","19","6","33","6","152","18","152","1"
"22","LeaderBean.java","0","48","0","4","0","5","0","22","0","10","0"
"22","LeaderElection.java","0","264","0","10","0","27","0","65","0","52","0"
"22","LeaderElectionAware.java","0","34","0","34","0","34","0","2","0","2","0"
"22","LeaderElectionBean.java","0","38","0","4","0","6","0","16","0","2","0"
"22","LeaderElectionMXBean.java","0","28","0","3","0","4","0","16","0","2","0"
"22","LeaderElectionSupport.java","0","415","0","207","0","208","0","4","0","4","0"
"22","LeaderMXBean.java","0","33","0","4","0","5","0","16","0","2","0"
"22","LeaderOffer.java","0","76","0","76","0","76","0","2","0","2","0"
"22","LeaderRequestProcessor.java","0","73","0","73","0","73","0","2","0","2","0"
"22","LeaderSessionTracker.java","1","199","2","66","5","67","2","6","2","4","1"
"22","LeaderZooKeeperServer.java","2","215","14","6","16","9","4","72","6","54","1"
"22","Learner.java","4","563","7","23","11","28","8","48","16","70","1"
"22","LearnerHandler.java","1","878","5","11","7","21","8","78","10","94","1"
"22","LearnerSessionTracker.java","1","203","2","20","4","28","2","12","2","8","1"
"22","LearnerSnapshot.java","0","40","0","40","0","40","0","2","0","2","0"
"22","LearnerSnapshotThrottler.java","1","123","-1","61","3","63","2","4","4","6","0"
"22","LearnerSyncRequest.java","0","31","0","0","0","3","0","2","0","2","0"
"22","LearnerZooKeeperServer.java","1","162","4","18","7","23","2","18","2","20","1"
"22","LessThanOp.java","0","63","0","63","0","63","0","2","0","2","0"
"22","ListQuotaCommand.java","0","67","0","67","0","67","0","2","0","2","1"
"22","LocalPeerBean.java","2","97","-1","10","2","12","4","28","10","22","1"
"22","LocalPeerMXBean.java","0","97","0","12","0","13","0","20","0","8","0"
"22","LocalSessionTracker.java","1","42","1","21","3","22","2","4","2","4","1"
"22","LockListener.java","0","35","0","17","0","18","0","4","0","4","0"
"22","Log4JEntry.java","0","36","0","18","0","18","0","4","0","4","0"
"22","Log4JSource.java","1","352","9","88","9","89","2","8","8","14","0"
"22","LogEntry.java","0","42","0","42","0","42","0","2","0","2","0"
"22","LogFormatter.java","0","94","0","8","0","10","0","31","0","18","1"
"22","LoggerFactory.java","0","33","0","11","0","23","0","6","0","4","0"
"22","Login.java","1","360","3","51","7","74","2","14","4","24","1"
"22","LogIterator.java","0","24","0","12","0","12","0","4","0","4","0"
"22","LogServer.java","0","60","0","30","0","30","0","4","0","4","0"
"22","LogSkipList.java","0","86","0","43","0","44","0","4","0","4","0"
"22","LogSource.java","0","30","0","30","0","30","0","2","0","2","0"
"22","Ls2Command.java","0","54","0","27","0","34","0","4","0","4","1"
"22","LsCommand.java","0","110","0","55","0","56","0","4","0","4","1"
"22","ManagedUtil.java","0","64","0","21","0","22","0","6","0","8","1"
"22","MBeanRegistry.java","0","193","0","13","0","18","0","28","0","20","0"
"22","MeasureThroughput.java","0","93","0","46","0","47","0","4","0","4","0"
