"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"bookkeeper","4","Best_First_Bidirectional","None","None","Naive Bayes","0.16463561485477535","0.30434782608695654","0.18421052631578946","0.7810860232151375","7.0","16.0","315.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","None","IBK","0.08258876544169026","0.175","0.18421052631578946","0.6657656225155033","7.0","33.0","298.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","None","Random Forest","0.22482184783951906","0.3142857142857143","0.2894736842105263","0.7063921132135474","11.0","24.0","307.0","27.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7841866751470822","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","IBK","0.1392926984426171","0.18556701030927836","0.47368421052631576","0.6450548576880267","18.0","79.0","252.0","20.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.19426105273974337","0.2235294117647059","0.5","0.7142629988869454","19.0","66.0","265.0","19.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7842661790427731","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","IBK","0.16337856586917526","0.22641509433962265","0.3157894736842105","0.6907695977102878","12.0","41.0","290.0","26.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.18395657418576614","0.24074074074074073","0.34210526315789475","0.7000318015582764","13.0","41.0","290.0","25.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.26052104208416826","0.3333333333333333","0.34210526315789475","0.6317777071076482","13.0","26.0","305.0","25.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.5407457465415806","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.20757479623212471","0.22826086956521738","0.5526315789473685","0.6690650341866752","21.0","71.0","260.0","17.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Naive Bayes","0.2791208791208791","0.3611111111111111","0.34210526315789475","0.6363094291620289","13.0","23.0","308.0","25.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.5407457465415806","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Random Forest","0.25168764063671983","0.26666666666666666","0.5263157894736842","0.6800763237398633","20.0","55.0","276.0","18.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Naive Bayes","0.3209332895169238","0.3392857142857143","0.5","0.7810860232151375","19.0","37.0","294.0","19.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.6657656225155033","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Random Forest","0.16663866957836387","0.1925925925925926","0.6842105263157895","0.7222531404038798","26.0","109.0","222.0","12.0"
"bookkeeper","4","None","None","None","Naive Bayes","0.15355983553343405","0.25806451612903225","0.21052631578947367","0.7480521545555732","8.0","23.0","308.0","30.0"
"bookkeeper","4","None","None","None","IBK","0.16430569741107515","0.27586206896551724","0.21052631578947367","0.6793210367307998","8.0","21.0","310.0","30.0"
"bookkeeper","4","None","None","None","Random Forest","0.18756733967302197","0.32","0.21052631578947367","0.7380346636985212","8.0","17.0","314.0","30.0"
"bookkeeper","4","Best_First_Bidirectional","None","None","Naive Bayes","0.16463561485477535","0.30434782608695654","0.18421052631578946","0.7810860232151375","7.0","16.0","315.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","None","IBK","0.08258876544169026","0.175","0.18421052631578946","0.6657656225155033","7.0","33.0","298.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","None","Random Forest","0.22482184783951906","0.3142857142857143","0.2894736842105263","0.7063921132135474","11.0","24.0","307.0","27.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7841866751470822","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","IBK","0.1392926984426171","0.18556701030927836","0.47368421052631576","0.6450548576880267","18.0","79.0","252.0","20.0"
"bookkeeper","4","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.19426105273974337","0.2235294117647059","0.5","0.7142629988869454","19.0","66.0","265.0","19.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.28327247300132097","0.35","0.3684210526315789","0.7842661790427731","14.0","26.0","305.0","24.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","IBK","0.16337856586917526","0.22641509433962265","0.3157894736842105","0.6907695977102878","12.0","41.0","290.0","26.0"
"bookkeeper","4","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.18395657418576614","0.24074074074074073","0.34210526315789475","0.7000318015582764","13.0","41.0","290.0","25.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.26052104208416826","0.3333333333333333","0.34210526315789475","0.6317777071076482","13.0","26.0","305.0","25.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.0787401574803153","0.17073170731707318","0.18421052631578946","0.5407457465415806","7.0","34.0","297.0","31.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.20757479623212471","0.22826086956521738","0.5526315789473685","0.6690650341866752","21.0","71.0","260.0","17.0"
"bookkeeper","4","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Naive Bayes","0.2791208791208791","0.3611111111111111","0.34210526315789475","0.6363094291620289","13.0","23.0","308.0","25.0"
