"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"bookkeeper","mean","Best_First_Bidirectional","Naive Bayes","0.11978457830842934","0.34758007692790305","0.3454647427882344","0.7388989255667998","25.4","38.2","231.6","32.4"
"bookkeeper","mean","Best_First_Bidirectional","IBK","0.0825119827791564","0.2578913373860182","0.28139468682793456","0.6126752261190611","19.8","43.8","226.0","38.0"
"bookkeeper","mean","Best_First_Bidirectional","Random Forest","0.23829506453254723","0.4063297896407233","0.35573736169692527","0.7045710334901713","22.8","28.8","241.0","35.0"
"bookkeeper","mean","Best_First_Bidirectional+Under_Sampling","Naive Bayes","0.1821982776440103","0.3859065040650406","0.4348139750707145","0.7180916417225298","29.0","43.8","226.0","28.8"
"bookkeeper","mean","Best_First_Bidirectional+Under_Sampling","IBK","0.12991986886452964","0.27285692634064584","0.48499552651028904","0.6089824002190187","29.6","76.8","193.0","28.2"
"bookkeeper","mean","Best_First_Bidirectional+Under_Sampling","Random Forest","0.2195036917396223","0.3303780548101807","0.5593308520747545","0.6998111456564761","33.2","70.2","199.6","24.6"
"bookkeeper","mean","Best_First_Bidirectional+Over_Sampling","Naive Bayes","0.22105366271509674","0.3897853063190701","0.30528303852758276","0.7419126476691968","20.4","22.0","247.8","37.4"
"bookkeeper","mean","Best_First_Bidirectional+Over_Sampling","IBK","0.12994571979808417","0.28618834560121426","0.36921982061584113","0.6208163860438097","24.2","54.0","215.8","33.6"
"bookkeeper","mean","Best_First_Bidirectional+Over_Sampling","Random Forest","0.2071932096210795","0.3330635626613351","0.43612008124524176","0.6799739027956665","28.4","48.0","221.8","29.4"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.1782461342131542","0.3613952333664349","0.46066177083507","0.5933552840216164","30.8","46.6","223.2","27.0"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.06448046138523597","0.24128475487282466","0.28139468682793456","0.5324285064687708","19.8","50.4","219.4","38.0"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.16402399653632266","0.27717855299143723","0.7634979772046525","0.6411415710953619","47.2","114.4","155.4","10.6"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.1782461342131542","0.3613952333664349","0.46066177083507","0.7388989255667998","30.8","46.6","223.2","27.0"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","IBK","0.06528165786538388","0.24180518162275963","0.28139468682793456","0.6126752261190611","19.8","50.0","219.8","38.0"
"bookkeeper","mean","Best_First_Bidirectional+Sensitive_Learning_CFP_1_CFN_10","Random Forest","0.16368610625384133","0.2798170917666692","0.6385708728584211","0.6941144907949456","41.4","90.6","179.2","16.4"
"bookkeeper","mean","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Naive Bayes","0.16228622154599154","0.3516060647602687","0.4324293827695625","0.5771873495591011","30.0","48.4","221.4","27.8"
"bookkeeper","mean","Sensitive_Classifier_Threshold_CFP_1_CFN_10","IBK","0.11340128335056317","0.28769481349656856","0.280083565343514","0.5558700044667462","19.8","37.8","232.0","38.0"
"bookkeeper","mean","Sensitive_Classifier_Threshold_CFP_1_CFN_10","Random Forest","0.14490269532571312","0.27490435442372146","0.7910589250287582","0.6328702092131318","48.8","119.4","150.4","9.0"
"bookkeeper","mean","Sensitive_Learning_CFP_1_CFN_10","Naive Bayes","0.15755879743298476","0.3478894561656113","0.4271662248748257","0.7433065489324178","29.8","48.4","221.4","28.0"
"bookkeeper","mean","Sensitive_Learning_CFP_1_CFN_10","IBK","0.11340128335056317","0.28769481349656856","0.280083565343514","0.6312895091996248","19.8","37.8","232.0","38.0"
"bookkeeper","mean","Sensitive_Learning_CFP_1_CFN_10","Random Forest","0.2195942445507726","0.31453139704783173","0.6465990641792952","0.7310987876654422","41.4","78.8","191.0","16.4"
"bookkeeper","mean","Over_Sampling","Naive Bayes","0.2719333655072755","0.43919454234224214","0.35463956454328727","0.7579047497346304","23.0","24.2","245.6","34.8"
"bookkeeper","mean","Over_Sampling","IBK","0.14175435360373406","0.312094850065189","0.30935845711840576","0.6497907164557477","21.4","41.2","228.6","36.4"
"bookkeeper","mean","Over_Sampling","Random Forest","0.2031358485599371","0.3246714829290238","0.42731083529222175","0.7149456262169965","27.8","44.4","225.4","30.0"
"bookkeeper","mean","Under_Sampling","Naive Bayes","0.10573683789723849","0.3155123574576348","0.35774248537085507","0.7376347779656768","26.4","44.6","225.2","31.4"
"bookkeeper","mean","Under_Sampling","IBK","0.1368836752174423","0.2817161095710787","0.4700298695741571","0.610088581692721","28.8","75.2","194.6","29.0"
"bookkeeper","mean","Under_Sampling","Random Forest","0.23531636659619876","0.3359352413436322","0.5631981283585905","0.7289558392675062","34.4","66.0","203.8","23.4"
"bookkeeper","mean","None","Naive Bayes","0.14162328798919932","0.3568662463738864","0.38262896709623284","0.743373513218132","27.4","42.8","227.0","30.4"
"bookkeeper","mean","None","IBK","0.11587780268369903","0.2912515796009438","0.280083565343514","0.6312895091996248","19.8","37.2","232.6","38.0"
"bookkeeper","mean","None","Random Forest","0.20998962426967377","0.37646688634748343","0.341994134449205","0.729162686935784","22.6","29.2","240.6","35.2"
