"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","mean","Best_First_Bidirectional","Naive Bayes","0.30591818598865717","0.8489776707958961","0.3070945287243835","0.7406551067458912","29.95","5.9","164.05","68.25"
"zookeeper","mean","Best_First_Bidirectional","IBK","0.14553667225128022","0.6850886635420819","0.19683294910709231","0.6713229956625171","19.05","12.6","157.35","79.15"
"zookeeper","mean","Best_First_Bidirectional","Random Forest","0.1382636491223732","0.7228920436469761","0.17054717805342934","0.6941953643582861","16.75","9.1","160.85","81.45"
"zookeeper","mean","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.336568132462288","0.7993508216996711","0.366704883645358","0.7376304174098622","35.4","9.8","160.15","62.8"
"zookeeper","mean","Best_First_BidirectionalUnder_Sampling","IBK","0.22745333683183538","0.5787172644053411","0.41148354420306543","0.6485540489098129","39.45","32.6","137.35","58.75"
"zookeeper","mean","Best_First_BidirectionalUnder_Sampling","Random Forest","0.25345125808746954","0.6090065749534394","0.4040161400859269","0.7093388174728633","38.8","27.75","142.2","59.4"
"zookeeper","mean","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.33381931464688763","0.8103820933973284","0.35668861317715467","0.7384919882122235","34.6","9.05","160.9","63.6"
"zookeeper","mean","Best_First_BidirectionalOver_Sampling","IBK","0.1484857817631771","0.6402137146382619","0.22150344261320018","0.6604942358027797","21.4","16.5","153.45","76.8"
"zookeeper","mean","Best_First_BidirectionalOver_Sampling","Random Forest","0.14459732555735114","0.6477131549316245","0.20661653580292022","0.6637896571617629","20.1","14.15","155.8","78.1"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.3551358377931657","0.7966822941671778","0.3926315369273553","0.6637268871551147","38.05","11.35","158.6","60.15"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.1346986445858688","0.6234558299514313","0.20244837762685405","0.5616258772355022","19.65","15.3","154.65","78.55"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.2862983007187248","0.6449367956932166","0.45258796676040136","0.6411915846709817","43.45","31.4","138.55","54.75"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.3551358377931657","0.7966822941671778","0.3926315369273553","0.6637268871551147","38.05","11.35","158.6","60.15"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.1346986445858688","0.6234558299514313","0.20244837762685405","0.5616258772355022","19.65","15.3","154.65","78.55"
"zookeeper","mean","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.2862983007187248","0.6449367956932166","0.45258796676040136","0.6411915846709817","43.45","31.4","138.55","54.75"
"zookeeper","mean","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.35480003594617265","0.7968466077017446","0.39207598137179966","0.7406551067458912","38.0","11.3","158.65","60.2"
"zookeeper","mean","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.1346986445858688","0.6234558299514313","0.20244837762685405","0.6713191376378258","19.65","15.3","154.65","78.55"
"zookeeper","mean","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.20947278060540678","0.6563813115654591","0.30863718451037414","0.715179739141933","29.95","21.0","148.95","68.25"
"zookeeper","mean","None","Naive Bayes","0.288619180330649","0.8407823527543746","0.2975503615314966","0.7335709736147524","29.0","7.05","162.9","69.2"
"zookeeper","mean","None","IBK","0.15809265779153378","0.6754588179133045","0.21852035738012981","0.6695815961912379","21.15","14.05","155.9","77.05"
"zookeeper","mean","None","Random Forest","0.1582237749943242","0.7251083635316652","0.19010534222278158","0.7052261008622115","18.65","9.55","160.4","79.55"
"zookeeper","2","Best_First_Bidirectional","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7823529411764706","25.0","2.0","80.0","60.0"
"zookeeper","2","Best_First_Bidirectional","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.6946197991391678","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_Bidirectional","Random Forest","0.16044749699072428","0.7916666666666666","0.2235294117647059","0.7398134863701579","19.0","5.0","77.0","66.0"
"zookeeper","2","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.3708863458667994","0.8809523809523809","0.43529411764705883","0.7830703012912482","37.0","5.0","77.0","48.0"
"zookeeper","2","Best_First_BidirectionalUnder_Sampling","IBK","0.17780948983232248","0.6333333333333333","0.4470588235294118","0.6190817790530847","38.0","22.0","60.0","47.0"
"zookeeper","2","Best_First_BidirectionalUnder_Sampling","Random Forest","0.39229397074562977","0.7833333333333333","0.5529411764705883","0.7608321377331421","47.0","13.0","69.0","38.0"
"zookeeper","2","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.3359840954274354","0.8918918918918919","0.38823529411764707","0.7868723098995696","33.0","4.0","78.0","52.0"
"zookeeper","2","Best_First_BidirectionalOver_Sampling","IBK","0.1502473498233217","0.9333333333333333","0.16470588235294117","0.6685796269727403","14.0","1.0","81.0","71.0"
"zookeeper","2","Best_First_BidirectionalOver_Sampling","Random Forest","0.19609231204870453","0.8695652173913043","0.23529411764705882","0.6988522238163558","20.0","3.0","79.0","65.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.33570109390538433","0.8717948717948718","0.4","0.6695121951219513","34.0","5.0","77.0","51.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.5644906743185079","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.40484675694939404","0.8181818181818182","0.5294117647058824","0.7037302725968436","45.0","10.0","72.0","40.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.33570109390538433","0.8717948717948718","0.4","0.6695121951219513","34.0","5.0","77.0","51.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.5644906743185079","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.40484675694939404","0.8181818181818182","0.5294117647058824","0.7037302725968436","45.0","10.0","72.0","40.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.33570109390538433","0.8717948717948718","0.4","0.7823529411764706","34.0","5.0","77.0","51.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.12701328058773662","0.9230769230769231","0.1411764705882353","0.6946197991391678","12.0","1.0","81.0","73.0"
"zookeeper","2","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.21907326059231966","0.8518518518518519","0.27058823529411763","0.7230272596843615","23.0","4.0","78.0","62.0"
"zookeeper","2","None","Naive Bayes","0.24338099957525128","0.9565217391304348","0.25882352941176473","0.7170731707317073","22.0","1.0","81.0","63.0"
"zookeeper","2","None","IBK","0.11540363019987285","0.9166666666666666","0.12941176470588237","0.6063845050215209","11.0","1.0","81.0","74.0"
"zookeeper","2","None","Random Forest","0.10341904492794574","0.8461538461538461","0.12941176470588237","0.7874461979913917","11.0","2.0","80.0","74.0"
"zookeeper","3","Best_First_Bidirectional","Naive Bayes","0.17350113122171953","0.9411764705882353","0.18823529411764706","0.7466284074605452","16.0","1.0","81.0","69.0"
"zookeeper","3","Best_First_Bidirectional","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.6936154949784792","12.0","2.0","80.0","73.0"
"zookeeper","3","Best_First_Bidirectional","Random Forest","0.011555806087936842","1.0","0.011764705882352941","0.8129124820659971","1.0","0.0","82.0","84.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.2879476975554293","0.8048780487804879","0.38823529411764707","0.7538020086083214","33.0","8.0","74.0","52.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","IBK","0.2740682676548137","0.7222222222222222","0.4588235294117647","0.6433285509325681","39.0","15.0","67.0","46.0"
"zookeeper","3","Best_First_BidirectionalUnder_Sampling","Random Forest","0.31021222048141295","0.7647058823529411","0.4588235294117647","0.7743185078909612","39.0","12.0","70.0","46.0"
"zookeeper","3","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.26640215388975474","0.9259259259259259","0.29411764705882354","0.7497847919655667","25.0","2.0","80.0","60.0"
"zookeeper","3","Best_First_BidirectionalOver_Sampling","IBK","0.11502861584116447","0.8571428571428571","0.1411764705882353","0.5780487804878048","12.0","2.0","80.0","73.0"
