"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","21","Best_First_Bidirectional","Naive Bayes","0.3692307692307693","0.7241379310344828","0.3888888888888889","0.7098186728395062","42.0","16.0","224.0","66.0"
"zookeeper","21","Best_First_Bidirectional","IBK","0.16512764801738183","0.52","0.24074074074074073","0.6827739197530864","26.0","24.0","216.0","82.0"
"zookeeper","21","Best_First_Bidirectional","Random Forest","0.20212476164532833","0.5714285714285714","0.25925925925925924","0.7232253086419753","28.0","21.0","219.0","80.0"
"zookeeper","21","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.34609334032511807","0.6774193548387096","0.3888888888888889","0.7092013888888888","42.0","20.0","220.0","66.0"
"zookeeper","21","Best_First_BidirectionalUnder_Sampling","IBK","0.22114686668279704","0.4835164835164835","0.4074074074074074","0.6807677469135802","44.0","47.0","193.0","64.0"
"zookeeper","21","Best_First_BidirectionalUnder_Sampling","Random Forest","0.2719363658960974","0.5432098765432098","0.4074074074074074","0.7188464506172839","44.0","37.0","203.0","64.0"
"zookeeper","21","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.36858475894245707","0.6818181818181818","0.4166666666666667","0.7123842592592593","45.0","21.0","219.0","63.0"
"zookeeper","21","Best_First_BidirectionalOver_Sampling","IBK","0.19217991311014573","0.49295774647887325","0.32407407407407407","0.6777970679012346","35.0","36.0","204.0","73.0"
"zookeeper","21","Best_First_BidirectionalOver_Sampling","Random Forest","0.2621434078643023","0.5652173913043478","0.3611111111111111","0.7241126543209877","39.0","30.0","210.0","69.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.398400399900025","0.6582278481012658","0.48148148148148145","0.6844907407407408","52.0","27.0","213.0","56.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","0.14345991561181415","0.4666666666666667","0.25925925925925924","0.562962962962963","28.0","32.0","208.0","80.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.37655578185109756","0.5555555555555556","0.6018518518518519","0.6925925925925925","65.0","52.0","188.0","43.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.398400399900025","0.6582278481012658","0.48148148148148145","0.6844907407407408","52.0","27.0","213.0","56.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","0.14345991561181415","0.4666666666666667","0.25925925925925924","0.562962962962963","28.0","32.0","208.0","80.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.37655578185109756","0.5555555555555556","0.6018518518518519","0.6925925925925925","65.0","52.0","188.0","43.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.398400399900025","0.6582278481012658","0.48148148148148145","0.7098186728395062","52.0","27.0","213.0","56.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","0.14345991561181415","0.4666666666666667","0.25925925925925924","0.6826967592592592","28.0","32.0","208.0","80.0"
"zookeeper","21","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.31938059520929113","0.5604395604395604","0.4722222222222222","0.7260802469135802","51.0","40.0","200.0","57.0"
"zookeeper","21","None","Naive Bayes","0.34229957805907174","0.6833333333333333","0.37962962962962965","0.7042438271604938","41.0","19.0","221.0","67.0"
"zookeeper","21","None","IBK","0.2797385620915033","0.6031746031746031","0.35185185185185186","0.7104552469135802","38.0","25.0","215.0","70.0"
"zookeeper","21","None","Random Forest","0.20436730123180288","0.625","0.23148148148148148","0.718113425925926","25.0","15.0","225.0","83.0"
