"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","9","Best_First_Bidirectional","None","None","Naive Bayes","0.3229641279459721","0.6341463414634146","0.30952380952380953","0.685218566922037","26.0","15.0","302.0","58.0"
"zookeeper","9","Best_First_Bidirectional","None","None","IBK","-0.03313105504098782","0.17543859649122806","0.11904761904761904","0.4890528766711732","10.0","47.0","270.0","74.0"
"zookeeper","9","Best_First_Bidirectional","None","None","Random Forest","-0.004700560963171571","0.20408163265306123","0.11904761904761904","0.5987494366831906","10.0","39.0","278.0","74.0"
"zookeeper","9","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.37362815701389585","0.5522388059701493","0.44047619047619047","0.6770129187321616","37.0","30.0","287.0","47.0"
"zookeeper","9","Best_First_Bidirectional","Under_Sampling","None","IBK","0.06481213322155319","0.24817518248175183","0.40476190476190477","0.5664526062791047","34.0","103.0","214.0","50.0"
"zookeeper","9","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.09163511301443454","0.26956521739130435","0.36904761904761907","0.631421811626859","31.0","84.0","233.0","53.0"
"zookeeper","9","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.36679825472678174","0.5645161290322581","0.4166666666666667","0.6779893345350758","35.0","27.0","290.0","49.0"
"zookeeper","9","Best_First_Bidirectional","Over_Sampling","None","IBK","0.02440450370593925","0.2289156626506024","0.2261904761904762","0.4678158329577888","19.0","64.0","253.0","65.0"
"zookeeper","9","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.00630772696553302","0.2153846153846154","0.16666666666666666","0.578883130539282","14.0","51.0","266.0","70.0"
"zookeeper","9","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.3606075864384024","0.5666666666666667","0.40476190476190477","0.6613714886585549","34.0","26.0","291.0","50.0"
"zookeeper","9","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","-0.03652697148184261","0.1724137931034483","0.11904761904761904","0.4838140303439988","10.0","48.0","269.0","74.0"
"zookeeper","9","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.09990330823951925","0.27884615384615385","0.34523809523809523","0.5543225176505934","29.0","75.0","242.0","55.0"
